commit,scenario,window_count,phase,iterations,min_ms,median_ms,p95_ms,max_ms
,window_spawn,9,Bar_updateView,7,78,360,375,375
,window_spawn,9,Manager_onShellMessage,7,500,937,1000,1000
,window_spawn,9,Manager_sync,7,140,141,297,297
,window_spawn,9,Manager_validateAlive,7,0,0,0,0
,window_spawn,9,Manager_winActivate,8,15,15,109,109
,window_spawn,9,Tiler_stackTiles,13,78,188,422,422
,window_spawn,9,View_arrange,7,219,422,610,610
,view_switch,9,Bar_updateView,200,31,171,266,406
,view_switch,9,Manager_onShellMessage,50,0,0,16,16
,view_switch,9,Manager_sync,50,0,0,0,16
,view_switch,9,Manager_validateAlive,49,0,0,0,0
,view_switch,9,Manager_winActivate,100,62,156,203,219
,view_switch,9,Monitor_activateView,100,422,687,781,875
,view_switch,9,Monitor_activateView_hide,100,0,0,63,156
,view_switch,9,Monitor_activateView_show,100,0,0,141,141
,view_switch,9,Tiler_stackTiles,100,0,16,47,125
,view_switch,9,View_arrange,100,0,47,125,188
,view_arrange,9,Tiler_stackTiles,100,0,16,94,94
,view_arrange,9,View_arrange,50,78,94,94,109
,window_shuffle,9,Manager_validateAlive,1,0,0,0,0
,window_shuffle,9,Tiler_stackTiles,100,31,78,234,266
,window_shuffle,9,View_arrange,50,109,156,328,329
,view_switch_populated,17,Bar_updateView,200,109,187,250,281
,view_switch_populated,17,Manager_onShellMessage,100,0,0,16,16
,view_switch_populated,17,Manager_sync,100,0,0,0,16
,view_switch_populated,17,Manager_validateAlive,99,0,0,0,0
,view_switch_populated,17,Manager_winActivate,100,93,187,219,235
,view_switch_populated,17,Monitor_activateView,100,843,1062,1141,1313
,view_switch_populated,17,Monitor_activateView_hide,100,0,62,78,157
,view_switch_populated,17,Monitor_activateView_show,100,0,140,219,250
,view_switch_populated,17,Tiler_stackTiles,200,0,62,110,375
,view_switch_populated,17,View_arrange,100,78,125,188,469
,orphan_storm,17,Bar_updateView,5,125,156,250,250
,orphan_storm,17,Manager_validateAlive,51,0,0,0,703
,window_spawn,10,Bar_updateView,6,187,188,391,391
,window_spawn,10,Manager_onShellMessage,6,484,1016,1204,1204
,window_spawn,10,Manager_sync,6,141,156,469,469
,window_spawn,10,Manager_validateAlive,6,0,0,0,0
,window_spawn,10,Manager_winActivate,8,15,16,250,250
,window_spawn,10,Tiler_stackTiles,11,94,218,406,406
,window_spawn,10,View_arrange,6,156,500,578,578
,view_switch,10,Bar_updateView,200,31,156,313,390
,view_switch,10,Manager_onShellMessage,138,0,0,16,16
,view_switch,10,Manager_sync,138,0,0,15,16
,view_switch,10,Manager_validateAlive,65,0,0,0,0
,view_switch,10,Manager_winActivate,100,15,78,187,188
,view_switch,10,Monitor_activateView,100,390,515,750,907
,view_switch,10,Monitor_activateView_hide,100,0,0,141,219
,view_switch,10,Monitor_activateView_show,100,0,0,141,157
,view_switch,10,Tiler_stackTiles,100,0,31,47,141
,view_switch,10,View_arrange,100,0,47,187,203
,view_arrange,10,Tiler_stackTiles,100,0,16,94,94
,view_arrange,10,View_arrange,50,63,94,110,110
,window_shuffle,10,Tiler_stackTiles,100,31,78,234,250
,window_shuffle,10,View_arrange,50,93,156,328,344
,view_switch_populated,18,Bar_updateView,200,93,187,250,281
,view_switch_populated,18,Manager_onShellMessage,100,0,0,16,16
,view_switch_populated,18,Manager_sync,100,0,0,0,16
,view_switch_populated,18,Manager_validateAlive,99,0,0,0,16
,view_switch_populated,18,Manager_winActivate,100,78,187,219,265
,view_switch_populated,18,Monitor_activateView,100,859,1062,1125,1375
,view_switch_populated,18,Monitor_activateView_hide,100,0,62,78,93
,view_switch_populated,18,Monitor_activateView_show,100,15,140,219,235
,view_switch_populated,18,Tiler_stackTiles,200,0,78,110,406
,view_switch_populated,18,View_arrange,100,93,125,188,516
,orphan_storm,18,Bar_updateView,5,125,156,187,187
,orphan_storm,18,Manager_validateAlive,51,0,0,0,640
,window_spawn,12,Bar_updateView,6,140,187,421,421
,window_spawn,12,Manager_onShellMessage,6,578,1031,1266,1266
,window_spawn,12,Manager_sync,6,125,203,281,281
,window_spawn,12,Manager_validateAlive,6,0,0,0,0
,window_spawn,12,Manager_winActivate,8,15,15,125,125
,window_spawn,12,Tiler_stackTiles,11,141,266,594,594
,window_spawn,12,View_arrange,6,141,516,907,907
,view_switch,12,Bar_updateView,207,15,156,250,453
,view_switch,12,Manager_onShellMessage,50,0,0,16,16
,view_switch,12,Manager_sync,50,0,0,16,16
,view_switch,12,Manager_validateAlive,49,0,0,0,0
,view_switch,12,Manager_winActivate,100,15,125,187,250
,view_switch,12,Monitor_activateView,100,391,688,891,1390
,view_switch,12,Monitor_activateView_hide,100,0,0,171,282
,view_switch,12,Monitor_activateView_show,100,0,0,157,391
,view_switch,12,Tiler_stackTiles,100,0,31,63,109
,view_switch,12,View_arrange,100,0,62,187,250
,view_arrange,12,Tiler_stackTiles,100,0,16,156,203
,view_arrange,12,View_arrange,50,109,141,172,203
,window_shuffle,12,Bar_updateView,3,16,46,46,46
,window_shuffle,12,Manager_validateAlive,1,0,0,0,0
,window_shuffle,12,Tiler_stackTiles,100,32,109,265,360
,window_shuffle,12,View_arrange,50,140,203,390,469
